title,price,name,address,trasnportation,bed & bath,icons
"Studio Apartment","A$475/week","Scape Swanston","5 Little La Trobe St, Melbourne VIC 3000, Australia View on Map","3 mins\n3 mins\n3 mins","Located in central Melbourne , Scape Swanston is a fully-furnished student accommodation just minutes away from an abundance of shops, cafes, parks and other amenities. Strategically situated in the free tram zone, the accommodation is only a brief commute from major universities. In particular, the City Campus of RMIT is just a minute’s walk away while Monash College is 7 minutes away on foot. The property offers a complimentary shuttle bus to Caulfield and Clayton campuses of Monash University so you can save money on your daily commute, and comes with an onsite cafe so students can grab delicious meals on the go! The accommodation is also open to students under 18 enrolled at the City campus of Monash College.","14.2 sqm"
"Medium Studio Apartment","","","","","The student residence has strong links to public transport, making it easy for those new to Melbourne to find their way around the city. The nearest bus station is within 2-minutes’ walking distance and the Melbourne Central train station is just a minute away. Whenever you feel like exploring the city, you can pack your bags and hop on to the next bus or train.","Bathroom and Shower"
"Studio Apartment -City View","","","","","All the rooms in Swanston are carefully designed keeping in mind the needs of students. You can enjoy your private studio with a double bed and a fully equipped kitchenette. There are modern facilities available for exclusive use by residents. These include a communal lounge designated study zones, indoor and outdoor cinema, on-site laundry and secure bike storage. The support team also organises social events through the year to foster a sense of community and help residents make new friends.","Study Table and chair"
"Large Studio Apartment","","","","","The proximity to several pubs, cafes and restaurants means residents can easily order takeaway when they’re not in the mood to cook. When you need a break from studies, you can simply head to the games zone for some well-deserved downtime. You can even call friends over to host a movie marathon in the indoor cinema. All this and more is possible when you choose to live at Scape Swanston.","WiFi"
"Twin Studio","","","","","1. Features a comfortable double bed.","Wardrobe"
"Medium Studio Apartment - City View","","","","","2. Includes a fully-equipped private kitchen.","Microwave"
"Twin Studio - City Views","","","","","3. Contains a en-suite bathroom with a power shower.","Kitchen"
"","","","","","4. Built-in storage space for all your belongings.","Fridge"
"","","","","","1. Features a comfortable double bed.","Cooking Hob"
"","","","","","2. Includes a fully-equipped private kitchen.","Double bed"
"","","","","","3. Contains a en-suite bathroom with a power shower.","Toilet"
"","","","","","4. Built-in storage space for all your belongings.","16.3 sqm"
"","","","","","1. Features a comfortable double bed.","Bathroom and Shower"
"","","","","","2. Includes a fully-equipped private kitchen.","Study Table and chair"
"","","","","","3. Contains a en-suite bathroom with a power shower.","WiFi"
"","","","","","1. Comes with a comfortable bed, wardrobe, desk, chair and study area.","Wardrobe"
"","","","","","2. Includes a kitchen with sink and microwave.","Microwave"
"","","","","","3. Features a bathroom with washbasin, mirror and toilet.","Kitchen"
"","","","","","1. Features a comfortable single bed.","Fridge"
"","","","","","2. Built-in storage space for all your belongings.","Cooking Hob"
"","","","","","1. Features a comfortable double bed.","Double bed"
"","","","","","2. Includes a fully-equipped private kitchen.","Toilet"
"","","","","","3. Contains a en-suite bathroom with a power shower.","See all"
"","","","","","4. Built-in storage space for all your belongings.","14.5 sqm"
"","","","","","1. Features a comfortable single bed.","Bathroom and Shower"
"","","","","","2. Built-in storage space for all your belongings.","Study Table and chair"
"","","","","","","WiFi"
"","","","","","","Wardrobe"
"","","","","","","Microwave"
"","","","","","","Kitchen"
"","","","","","","Fridge"
"","","","","","","Cooking Hob"
"","","","","","","Double bed"
"","","","","","","Toilet"
"","","","","","","See all"
"","","","","","","24.4 sqm"
"","","","","","","Bathroom and Shower"
"","","","","","","Study Table and chair"
"","","","","","","WiFi"
"","","","","","","Wardrobe"
"","","","","","","Microwave"
"","","","","","","Kitchen"
"","","","","","","Fridge"
"","","","","","","Cooking Hob"
"","","","","","","Toilet"
"","","","","","","Double bed"
"","","","","","","See all"
"","","","","","","24.4 sqm"
"","","","","","","Dual Occupancy"
"","","","","","","Single bed"
"","","","","","","Study Table and chair"
"","","","","","","Bathroom and Shower"
"","","","","","","Kitchen"
"","","","","","","Wardrobe"
"","","","","","","Private washroom"
"","","","","","","Microwave"
"","","","","","","Bedside Table"
"","","","","","","Bedside Lamp"
"","","","","","","Coffee Table-Breakfast Bar"
"","","","","","","16.3 sqm"
"","","","","","","Bathroom and Shower"
"","","","","","","Study Table and chair"
"","","","","","","WiFi"
"","","","","","","Wardrobe"
"","","","","","","Microwave"
"","","","","","","Kitchen"
"","","","","","","Fridge"
"","","","","","","Cooking Hob"
"","","","","","","Double bed"
"","","","","","","Toilet"
"","","","","","","See all"
"","","","","","","26.5 sqm"
"","","","","","","Dual Occupancy"
"","","","","","","Single bed"
"","","","","","","Study Table and chair"
"","","","","","","Wardrobe"
"","","","","","","Bathroom and Shower"
"","","","","","","Kitchen"
"","","","","","","Private washroom"
"","","","","","","Microwave"
"","","","","","","Bedside Table"
"","","","","","","Bedside Lamp"
"","","","","","","Coffee Table-Breakfast Bar"